"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","2:17:57","2:17:57","5.55","24:53","116","160","449","416","72","810","84.2","12:47","222","1:38:35","17:46"
"Summary","2:17:57","2:17:57","5.55","24:53","116","160","449","416","72","810","84.2","12:47","222","1:38:35","17:46"
