"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","29:23","29:23","0.20","0.4","136","155","11","10","310","89.6","3.2","4:34","2.7"
"Summary","29:23","29:23","0.20","0.4","136","155","11","10","310","89.6","3.2","4:34","2.7"
