"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:18:28","4:18:28","5.61","46:06","102","157","873","817","21","1,098","88.3","13:42","93","1:56:40","20:48"
"Summary","4:18:28","4:18:28","5.61","46:06","102","157","873","817","21","1,098","88.3","13:42","93","1:56:40","20:48"
