"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Elev Gain","Elev Loss","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","3:41:44","3:41:44","9.10","2.5","101","132","94","49","1,144","91.4","6.9","2:44:42","3.3"
"Summary","3:41:44","3:41:44","9.10","2.5","101","132","94","49","1,144","91.4","6.9","2:44:42","3.3"
