Latitude,Longitude,Time,CPM
33.66012843,-84.124012776,22
33.660134008,-84.124025708,22
33.660141512,-84.124025708,22
33.660144557,-84.124037536,25
33.660144557,-84.124037536,29
33.660144557,-84.124037536,29
33.660144557,-84.124037536,31
33.660142023,-84.124036433,32
33.660142023,-84.124036433,32
33.660140097,-84.124049365,33
33.660140097,-84.124049365,26
33.660150646,-84.124061193,26
33.660150646,-84.124061193,27
33.660150646,-84.124061193,29
33.660150646,-84.124061193,29
33.660150646,-84.124061193,27
33.660150646,-84.124061193,25
33.660158662,-84.124071917,25
33.660168603,-84.12406971,24
33.660181078,-84.124068606,25
33.660181078,-84.124068606,25
33.660176107,-84.12406971,25
33.66015664,-84.124081538,28
33.660105622,-84.124061193,28
33.660051048,-84.124018295,30
33.660010971,-84.123964672,29
33.659953959,-84.123923982,29
33.659903428,-84.123861842,31
33.659876433,-84.123821152,37
33.659871342,-84.123766425,37
33.65989271,-84.123689146,37
33.659915101,-84.123633316,39
33.659960516,-84.123588211,39
33.659990411,-84.12353238,39
33.660023863,-84.123499103,39
33.660031367,-84.123499103,39
33.660038871,-84.123499103,37
33.660039262,-84.123453997,36
33.660061142,-84.123387443,36
33.660098541,-84.123331612,33
33.66014537,-84.12326285,29
33.660174242,-84.123185571,29
33.660189129,-84.12312974,31
33.66019751,-84.12304284,32
33.660221923,-84.122977389,32
33.660221898,-84.12292487,28
33.660227234,-84.122826142,30
33.660231157,-84.12275107,30
33.660224018,-84.122653446,29
33.66022297,-84.122579478,29
33.660207425,-84.122516235,29
33.660214929,-84.122516235,29
33.660224845,-84.122461509,29
33.660234249,-84.122396058,28
33.660244677,-84.122352055,23
33.660262609,-84.122308053,25
33.660283976,-84.122230774,25
33.66029338,-84.122165323,24
33.6603108,-84.122110596,27
33.660332167,-84.122033316,27
33.660346031,-84.121956037,29
33.660355946,-84.12190131,29
33.660388765,-84.121801477,31
33.660405161,-84.121725301,32
33.660420047,-84.121669471,32
33.660456934,-84.121602915,32
33.660468264,-84.121524531,37
33.660502105,-84.121446147,37
33.66050705,-84.121392524,39
33.660476497,-84.121329281,40
33.660422018,-84.121289696,40
33.660375042,-84.121250111,36
33.660346536,-84.121229766,37
33.660346536,-84.121229766,37
33.660346536,-84.121229766,35
33.660346536,-84.121229766,40
33.660346536,-84.121229766,40
33.660346536,-84.121229766,40
33.660346536,-84.121229766,44
33.660346536,-84.121229766,44
33.660346536,-84.121229766,41
33.660346536,-84.121229766,43
33.660346536,-84.121229766,43
33.660349581,-84.121241595,48
33.660352115,-84.121242699,50
33.660343587,-84.12122125,50
33.660343587,-84.12122125,50
33.660385591,-84.12126194,53
33.660405058,-84.121250111,53
33.660395117,-84.121252319,53
33.660400599,-84.12126194,48
33.660360642,-84.121264148,48
33.660365101,-84.121252319,46
33.660365101,-84.121252319,51
33.660352626,-84.121253424,51
33.660312669,-84.121255632,46
33.660274222,-84.121237496,39
33.6602597,-84.121195702,39
33.660252196,-84.121195702,38
33.660251684,-84.121184978,39
33.660235652,-84.121163529,39
33.660257045,-84.121138767,41
33.660264549,-84.121138767,38
33.660283018,-84.121158007,38
33.660297028,-84.121189077,37
33.660292569,-84.121200905,33
33.660304532,-84.121189077,33
33.66035594,-84.121164315,36
33.660365344,-84.121098864,38
33.660363296,-84.121055966,38
33.660377793,-84.121045241,43
33.660353745,-84.121013068,40
33.660307282,-84.120984207,40
33.660287277,-84.120932793,41
33.660290201,-84.120888791,45
33.660277726,-84.120889896,45
33.660297193,-84.120878067,43
33.66028418,-84.120815929,46
33.660283035,-84.120738649,46
33.660282523,-84.120727924,44
33.660282523,-84.120727924,44
33.660282523,-84.120727924,44
33.660282523,-84.120727924,37
33.660282523,-84.120727924,36
33.660290027,-84.120727924,36
33.660290027,-84.120727924,35
33.660290027,-84.120727924,34
33.660290027,-84.120727924,34
33.660294998,-84.12072682,35
33.660294998,-84.12072682,35
33.660294998,-84.12072682,35
33.660294998,-84.12072682,34
33.660294998,-84.12072682,35
33.660294998,-84.12072682,35
33.660294998,-84.12072682,39
33.660294998,-84.12072682,44
33.660305937,-84.120693542,44
33.660368796,-84.120646227,49
33.66039869,-84.120590396,50
33.660446029,-84.120532356,50
33.660489421,-84.120496869,49
33.6605458,-84.120471003,49
33.660612606,-84.120401133,49
33.660676488,-84.120375267,50
33.66074483,-84.120337571,51
33.660804644,-84.120278426,51
33.660880489,-84.120240731,50
33.660943348,-84.120193415,49
33.661007742,-84.120178272,49
33.661074158,-84.12015351,45
33.661132558,-84.120118023,46
33.661195929,-84.120081431,46
33.661251795,-84.12004484,48
33.661306126,-84.119976074,59
33.661341503,-84.119929862,59
33.661404361,-84.119882546,59
33.661461737,-84.119825609,55
33.661532611,-84.119789017,55
33.661587454,-84.119730976,51
33.661630334,-84.119684764,55
33.6616517,-84.119607483,55
33.661640612,-84.119532411,56
33.661627625,-84.119522791,51
33.661657668,-84.119575309,51
33.661718627,-84.119593444,47
33.661781,-84.119587922,35
33.661844371,-84.119551329,35
33.661861304,-84.119538396,32
33.661910301,-84.11956836,30
33.6619602,-84.119563942,30
33.662005128,-84.119560628,27
33.662017603,-84.119559524,22
33.662017603,-84.119559524,22
33.662023085,-84.119569144,20
33.662023085,-84.119569144,24
33.662023085,-84.119569144,24
33.662032515,-84.11955621,29
33.662068915,-84.119531447,30
33.662068403,-84.119520722,30
33.662068915,-84.119531447,37
33.662054932,-84.119552896,43
33.662006057,-84.119578764,43
33.661985055,-84.119558419,47
33.661979572,-84.119548799,53
33.661972068,-84.119548799,53
