"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","2:14:01","2:14:01","4.29","31:16","127","158","1,368","1,013","74","1,131","71.6","15:18","174","1:45:33","24:37"
"Summary","2:14:01","2:14:01","4.29","31:16","127","158","1,368","1,013","74","1,131","71.6","15:18","174","1:45:33","24:37"
