"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:07:54","1:07:54","1.79","37:54","113","150","630","627","30","430","85.6","19:42","80","47:19","26:25"
"Summary","1:07:54","1:07:54","1.79","37:54","113","150","630","627","30","430","85.6","19:42","80","47:19","26:25"
