"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:57:19","1:57:19","2.01","58:11","108","148","586","621","39","549","93.2","14:22","214","51:05","25:21"
"Summary","1:57:19","1:57:19","2.01","58:11","108","148","586","621","39","549","93.2","14:22","214","51:05","25:21"
