"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","1:12:36","1:12:36","0.28","0.2","132","154","0","0","657","89.6","3.1","6:57","2.4"
"Summary","1:12:36","1:12:36","0.28","0.2","132","154","0","0","657","89.6","3.1","6:57","2.4"
