"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","2:43:08","2:43:08","5.15","31:42","112","148","945","902","63","817","80.6","1:41","163","1:51:54","21:45"
"Summary","2:43:08","2:43:08","5.15","31:42","112","148","945","902","63","817","80.6","1:41","163","1:51:54","21:45"
