"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:05:45","1:05:45","1.23","53:13","104","153","241","647","46","332","73.4","19:42","176","31:12","25:16"
"Summary","1:05:45","1:05:45","1.23","53:13","104","153","241","647","46","332","73.4","19:42","176","31:12","25:16"
