"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:48:07","1:48:07","3.48","31:05","108","137","501","431","70","497","87.8","18:55","195","1:25:25","24:33"
"Summary","1:48:07","1:48:07","3.48","31:05","108","137","501","431","70","497","87.8","18:55","195","1:25:25","24:33"
