"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:37:27","1:37:27","3.54","27:34","103","137","587","689","73","470","69.8","17:06","159","1:16:30","21:38"
"Summary","1:37:27","1:37:27","3.54","27:34","103","137","587","689","73","470","69.8","17:06","159","1:16:30","21:38"
