"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:36:02","1:36:02","3.19","30:06","107","134","341","586","67","502","80.6","17:32","158","1:09:47","21:52"
"Summary","1:36:02","1:36:02","3.19","30:06","107","134","341","586","67","502","80.6","17:32","158","1:09:47","21:52"
