"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:36:20","1:36:20","4.48","21:30","128","160","482","436","83","694","80.6","7:59","172","1:19:38","17:46"
"Summary","1:36:20","1:36:20","4.48","21:30","128","160","482","436","83","694","80.6","7:59","172","1:19:38","17:46"
