"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:34:28","3:34:28","5.64","38:03","114","158","1,463","1,591","61","1,164","71.6","18:12","176","2:19:48","24:47"
"Summary","3:34:28","3:34:28","5.64","38:03","114","158","1,463","1,591","61","1,164","71.6","18:12","176","2:19:48","24:47"
