"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:49:09","1:49:09","4.22","25:52","103","134","571","548","79","507","75.2","17:32","160","1:32:38","21:58"
"Summary","1:49:09","1:49:09","4.22","25:52","103","134","571","548","79","507","75.2","17:32","160","1:32:38","21:58"
